prefix,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean,ref_minus_method_mean,ref_minus_method_ci95,paired_wins,paired_n
real_mnist4_main,centralized_qproto,5,0.7006833333333334,0.03788136486649991,0.6983913141914323,0.0,0.003791666666666682,0.006868983592125494,4,5
real_mnist4_main,classical_kernel,5,0.6709999999999999,0.025701955792420843,0.6668588684698441,3092.0,0.0334750000000001,0.04026212953003525,5,5
real_mnist4_main,fedavg_forced,5,0.3742666666666667,0.0781073422690708,0.36772241451330967,3088.0,0.3302083333333334,0.08107437157772006,5,5
real_mnist4_main,fedprox_forced,5,0.37405000000000005,0.07864358951409979,0.3675051462152679,3088.0,0.330425,0.08165632823225241,5,5
real_mnist4_main,forced_canonical,5,0.43740833333333334,0.03896350430504023,0.4337513729215459,3092.0,0.26706666666666673,0.040767087096959906,5,5
real_mnist4_main,local_only,5,0.737775,0.03736299393003122,0.7350341963512568,0.0,-0.033299999999999906,0.027968367424367903,0,5
real_mnist4_main,no_schema,5,0.4409583333333333,0.029334558071969948,0.43715484385091097,3092.0,0.2635166666666668,0.038284384177915506,5,5
real_mnist4_main,qproto_full,5,0.7044750000000001,0.03757300589140503,0.7016911212164167,4632.0,,,0,0
real_mnist4_main,qproto_proto,5,0.70875,0.05435286079979801,0.7066950417236292,3092.0,-0.004274999999999962,0.026989239742163922,1,5
real_mnist4_main,wrong_schema,5,0.2795666666666667,0.02294739215403596,0.27823020404311427,4628.0,0.4249083333333334,0.020407035614001187,5,5

