group,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
CIFAR-10 full-class,qproto_masked,3,0.4538611111111111,0.0092983392573639,0.45419476875413456,20524.0
CIFAR-10 full-class,qproto_masked_hop,3,0.45450555555555566,0.01054115736514246,0.4548622488706738,24364.0
CIFAR-10 full-class,qproto_chop,3,0.4507,0.009917406352063167,0.45100633161855264,11564.0
CIFAR-10 full-class,qproto_cproto,3,0.45108888888888893,0.010056911241098202,0.4513854589926626,7724.0
CIFAR-10 full-class,qproto_hop,3,0.2688277777777778,0.0641710743219726,0.2690326586925154,11564.0
CIFAR-10 full-class,qproto_proto,3,0.2684666666666667,0.06412963254830091,0.26867207499007745,7724.0
CIFAR-10 full-class,fedavg_forced,3,0.12253888888888888,0.0660524948730051,0.12542825277597372,7720.0
CIFAR-10 full-class,fedprox_forced,3,0.12249444444444443,0.06611164696912782,0.12537083205636718,7720.0
CIFAR-10 full-class,shared_observable,3,0.42357222222222224,0.048171278235611736,0.42397318366581144,7724.0
CIFAR-10 full-class,no_schema,3,0.1685888888888889,0.011122738909571385,0.1681718636730918,7724.0
CIFAR-10 full-class,forced_canonical,3,0.17,0.009284192704553166,0.16972599017238096,7724.0
CIFAR-10 full-class,wrong_schema,3,0.11528888888888889,0.020659476539840373,0.11551308069186805,11564.0
CIFAR-10 full-class,local_only,3,0.34957222222222223,0.008725920736965743,0.34942316942246204,0.0
CIFAR-10 full-class,classical_kernel,3,0.24055555555555555,0.005059852396227081,0.24004256279704353,7724.0
CIFAR-10 matched-budget,qproto_proto,3,0.2889333333333333,0.06390020733232174,0.2896308131488931,20524.0
CIFAR-10 matched-budget,shared_observable,3,0.44672222222222224,0.010697916402887885,0.4470449159338719,20524.0
CIFAR-10 schema-head,qproto_masked_hop,3,0.45450555555555566,0.01054115736514246,0.4548622488706738,24364.0
CIFAR-10 schema-head,qproto_chop,3,0.4507,0.009917406352063167,0.45100633161855264,11564.0
CIFAR-10 schema-head,qproto_cproto,3,0.45108888888888893,0.010056911241098202,0.4513854589926626,7724.0
CIFAR-10 schema-head,fedproto_schema,3,0.27222777777777774,0.0494497092285992,0.2716597922069894,7724.0
CIFAR-10 schema-head,fedadam_schema,3,0.2817277777777778,0.04637546541814411,0.2819690798057563,7720.0
CIFAR-10 schema-head,fedavg_schema,3,0.25453333333333333,0.025179632131316555,0.2553738375818401,7720.0
CIFAR-10 schema-head,fedprox_schema,3,0.2528388888888889,0.0218413981911991,0.25375137236248196,7720.0
CIFAR-10 strong-baseline,qproto_masked_hop,3,0.45450555555555566,0.01054115736514246,0.4548622488706738,24364.0
CIFAR-10 strong-baseline,qproto_chop,3,0.4507,0.009917406352063167,0.45100633161855264,11564.0
CIFAR-10 strong-baseline,qproto_cproto,3,0.45108888888888893,0.010056911241098202,0.4513854589926626,7724.0
CIFAR-10 strong-baseline,fedproto_schema,3,0.27222777777777774,0.0494497092285992,0.2716597922069894,7724.0
CIFAR-10 strong-baseline,fedproto_forced,3,0.16969444444444443,0.009430158401552128,0.16952294680999516,7724.0
CIFAR-10 strong-baseline,fedadam_forced,3,0.16901666666666668,0.009665622452398761,0.16932701868865926,7720.0
CIFAR-10 strong-baseline,fedavg_forced,3,0.12253888888888888,0.0660524948730051,0.12542825277597372,7720.0
CIFAR-10 strong-baseline,fedprox_forced,3,0.12249444444444443,0.06611164696912782,0.12537083205636718,7720.0
Fashion-10 full-class,qproto_masked,3,0.6701333333333334,0.05926482177036386,0.669930239444218,20524.0
Fashion-10 full-class,qproto_masked_hop,3,0.6710583333333334,0.05817889436956554,0.6708421270815315,24364.0
Fashion-10 full-class,qproto_chop,3,0.6696583333333335,0.06049696176075774,0.6694130859934304,11564.0
Fashion-10 full-class,qproto_cproto,3,0.6684333333333333,0.06302904636606071,0.6682499804989334,7724.0
Fashion-10 full-class,qproto_hop,3,0.5337916666666667,0.07066360206598638,0.5344781425383318,11564.0
Fashion-10 full-class,qproto_proto,3,0.5329333333333334,0.07092503680012631,0.5335969161244785,7724.0
Fashion-10 full-class,fedavg_forced,3,0.18643333333333334,0.05044576791147088,0.18686809302032414,7720.0
Fashion-10 full-class,fedprox_forced,3,0.18625833333333333,0.051160417620848775,0.18665310424768752,7720.0
Fashion-10 full-class,shared_observable,3,0.6584833333333333,0.052678857401763146,0.6580560912702542,7724.0
Fashion-10 full-class,no_schema,3,0.2493,0.03485894799255285,0.2511171529978541,7724.0
Fashion-10 full-class,forced_canonical,3,0.251975,0.04323127720062996,0.25403013630817894,7724.0
Fashion-10 full-class,wrong_schema,3,0.15268333333333334,0.03971879819130915,0.15404093221476226,11564.0
Fashion-10 full-class,local_only,3,0.5573333333333332,0.04779645475912529,0.5574082038190901,0.0
Fashion-10 full-class,classical_kernel,3,0.45316666666666666,0.005870262162894531,0.4530286996710109,7724.0
Fashion-10 matched-budget,qproto_proto,3,0.5809333333333334,0.07472804399042737,0.58222790225377,20524.0
Fashion-10 matched-budget,shared_observable,3,0.6707083333333334,0.05397701211083281,0.6702945294169332,20524.0
