pair,family,variant,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
48,hop,hop48,5,0.42932000000000003,0.039744346923888445,0.4291991428524608,1556.0
96,proto,proto96,5,0.44572,0.03202367779438204,0.44581647253477197,1556.0
96,hop,hop96,5,0.44612999999999997,0.032146769198138705,0.4462308507039841,3092.0
192,proto,proto192,5,0.48844,0.032126410649084274,0.48858377942826203,3092.0
128,hop,hop128,5,0.46815,0.013639316028599031,0.46819450253599937,4116.0
256,proto,proto256,5,0.49596999999999997,0.02219466251994834,0.49670999016512557,4116.0


