prefix,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean,ref_minus_method_mean,ref_minus_method_ci95,paired_wins,paired_n
real_fashion4_main,centralized_qproto,5,0.7342916666666667,0.04733349372425872,0.7342621129627924,0.0,-0.0005249999999999311,0.010993604034164542,3,5
real_fashion4_main,classical_kernel,5,0.6635,0.017240154497889865,0.6630168092682686,3092.0,0.0702666666666667,0.03654956122800918,5,5
real_fashion4_main,fedavg_forced,5,0.335775,0.0635070632563724,0.3388963513428155,3088.0,0.3979916666666667,0.06517873011587273,5,5
real_fashion4_main,fedprox_forced,5,0.33516666666666667,0.06398448537028333,0.3383054203191392,3088.0,0.39860000000000007,0.06548851775034899,5,5
real_fashion4_main,forced_canonical,5,0.4292916666666667,0.021634212445671454,0.42849053284047706,3092.0,0.30447500000000005,0.05626441615043099,5,5
real_fashion4_main,local_only,5,0.7344166666666666,0.03833136441943533,0.7344984995975007,0.0,-0.0006499999999999506,0.02348439555993621,2,5
real_fashion4_main,no_schema,5,0.4305833333333333,0.023738987755963267,0.43004199546903327,3092.0,0.30318333333333336,0.04846957255690288,5,5
real_fashion4_main,qproto_full,5,0.7337666666666667,0.0466070878401319,0.7336499153736767,4632.0,,,0,0
real_fashion4_main,qproto_proto,5,0.7452666666666666,0.037547733928279724,0.7452547718895239,3092.0,-0.011499999999999955,0.01067246749767309,1,5
real_fashion4_main,wrong_schema,5,0.2990333333333333,0.02688092835628176,0.29806660927478457,4628.0,0.43473333333333336,0.028889509260744854,5,5

