run,seed,method,family,final_acc,final_balanced_acc,bytes_per_client_round,elapsed_sec
if_nonquantum_sensor_seed0,0,mask_only_metadata,missing-view,0.1685220007521625,0.1685220007521625,3100,0.9337636
if_nonquantum_sensor_seed0,0,zero_fill_proto,missing-view,0.37202582424470354,0.37202582424470354,3100,0.9023558
if_nonquantum_sensor_seed0,0,mean_impute_proto,missing-view,0.37222013288203587,0.37222013288203587,3100,1.2600341999999998
if_nonquantum_sensor_seed0,0,value_mask_proto,missing-view,0.2371756299360662,0.2371756299360662,6172,1.7294814
if_nonquantum_sensor_seed0,0,anchor_pca_impute,missing-view,0.435119719192679,0.435119719192679,3100,20.6115374
if_nonquantum_sensor_seed0,0,anchor_ridge_impute,missing-view,0.43110818603485024,0.43110818603485024,3100,2.000268400000003
if_nonquantum_sensor_seed0,0,anchor_ae_impute,deep-missing-view,0.4331515607371192,0.4331515607371192,3100,8.087439100000005
if_nonquantum_sensor_seed0,0,mask_aware_mlp_pooled,deep-missing-view,0.5179954870251974,0.5179954870251974,6172,2.5803300999999976
if_nonquantum_sensor_seed0,0,late_fusion_proto,missing-view,0.40324683464961764,0.40324683464961764,3100,0.39816379999999896
if_nonquantum_sensor_seed0,0,shared_view_proto,shared-view,0.24896577660774724,0.24896577660774724,412,0.10365449999999754
if_nonquantum_sensor_seed0,0,shared_view_rff_equal_bytes,strict-budget,0.25360411182148673,0.25360411182148673,6940,2.3922542999999976
if_nonquantum_sensor_seed0,0,zero_fill_rff_equal_bytes,strict-budget,0.3649116209101166,0.3649116209101166,6940,2.897039400000004
if_nonquantum_sensor_seed0,0,coverage_proto_all,qproto,0.3780995361664786,0.3780995361664786,6172,2.1707726000000065
if_nonquantum_sensor_seed0,0,group_cproto_all,qproto,0.40324683464961764,0.40324683464961764,6172,3.255094700000001
if_nonquantum_sensor_seed0,0,cproto_equal_bytes,strict-budget,0.3780995361664786,0.3780995361664786,6940,2.4883913999999976
if_nonquantum_sensor_seed0,0,group_cproto_equal_bytes,strict-budget,0.40324683464961764,0.40324683464961764,6940,3.0413495999999967
if_nonquantum_sensor_seed0,0,random_key_cproto_equal_bytes,strict-budget,0.3668108311395261,0.3668108311395261,6940,1.6588454000000041
if_nonquantum_sensor_seed0,0,random_key_hop_equal_bytes,strict-budget,0.3670490159207722,0.3670490159207722,6940,3.377445899999998
if_nonquantum_sensor_seed0,0,chop_equal_bytes,qproto,0.36312523505077093,0.36312523505077093,6940,3.2419827999999953
if_nonquantum_sensor_seed0,0,adaptive_chop_equal_bytes,qproto,0.36312523505077093,0.36312523505077093,6940,3.3882621000000057
if_nonquantum_sensor_seed1,1,mask_only_metadata,missing-view,0.16196565124733606,0.16196565124733606,3100,0.9079104000000058
if_nonquantum_sensor_seed1,1,zero_fill_proto,missing-view,0.3547636956249216,0.3547636956249216,3100,0.8862805999999921
if_nonquantum_sensor_seed1,1,mean_impute_proto,missing-view,0.3570264510467594,0.3570264510467594,3100,1.2111691000000064
if_nonquantum_sensor_seed1,1,value_mask_proto,missing-view,0.2522063432368058,0.2522063432368058,6172,1.6567356999999987
if_nonquantum_sensor_seed1,1,anchor_pca_impute,missing-view,0.4377836279302997,0.4377836279302997,3100,21.046799800000002
if_nonquantum_sensor_seed1,1,anchor_ridge_impute,missing-view,0.43773348376582677,0.43773348376582677,3100,1.7756074000000126
