group,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
CIFAR-10,schema_mask_only,5,0.09984333333333334,0.0009500564562405995,0.10000000000000002,7724.0
CIFAR-10,schema_zero_fill,5,0.42129666666666665,0.002155917450738808,0.42149338497384364,7724.0
CIFAR-10,no_schema,5,0.16605333333333333,0.006430540736288563,0.16587373072730122,7724.0
CIFAR-10,forced_canonical,5,0.16661333333333334,0.007243584158700578,0.16651293182932414,7724.0
CIFAR-10,shared_observable,5,0.42507,0.017295761011947422,0.4256110688676149,7724.0
CIFAR-10,qproto_proto,5,0.26586,0.023547913501394475,0.2656178048814064,7724.0
CIFAR-10,qproto_cproto,5,0.45022666666666666,0.004516029585849332,0.45069320767388255,7724.0
CIFAR-10,qproto_chop,5,0.4505,0.0038834521359795565,0.45097101334324585,11564.0
CIFAR-10,qproto_masked,5,0.45358666666666664,0.0033875731712245723,0.454096915256018,20524.0
CIFAR-10,qproto_masked_hop,5,0.45393000000000006,0.003922731277192801,0.4544682856416487,24364.0
Fashion-10,schema_mask_only,5,0.10041,0.00190155999999999,0.10000000000000002,7724.0
Fashion-10,schema_zero_fill,5,0.647115,0.022444496480910524,0.6463413774658812,7724.0
Fashion-10,no_schema,5,0.239505,0.025080629988865902,0.24016613070880335,7724.0
Fashion-10,forced_canonical,5,0.24208000000000002,0.026245400914034423,0.24302853930449045,7724.0
Fashion-10,shared_observable,5,0.655925,0.019230087563815258,0.6552704849463645,7724.0
Fashion-10,qproto_proto,5,0.523235,0.044561656235710095,0.5229933566232262,7724.0
Fashion-10,qproto_cproto,5,0.65959,0.02692344891914098,0.6590023647130215,7724.0
Fashion-10,qproto_chop,5,0.660455,0.026518832468990877,0.6598248723792267,11564.0
Fashion-10,qproto_masked,5,0.66147,0.025702956866601977,0.6608415750330361,20524.0
Fashion-10,qproto_masked_hop,5,0.66228,0.025535629799368575,0.6616472128539665,24364.0
MNIST-10,schema_mask_only,5,0.09927,0.0026242378288562234,0.10000000000000002,7724.0
MNIST-10,schema_zero_fill,5,0.6924600000000001,0.020400786037248625,0.6881637154860585,7724.0
MNIST-10,no_schema,5,0.218995,0.0097940441111116,0.21619084282746728,7724.0
MNIST-10,forced_canonical,5,0.21807,0.01160237245025346,0.21511486123762832,7724.0
MNIST-10,shared_observable,5,0.69467,0.017854792525997015,0.6906038653378694,7724.0
MNIST-10,qproto_proto,5,0.40718,0.0318905603515899,0.40400910492805947,7724.0
MNIST-10,qproto_cproto,5,0.73752,0.029677142490920426,0.7336207546217771,7724.0
MNIST-10,qproto_chop,5,0.7392200000000001,0.029814092993119858,0.7352732482005667,11564.0
MNIST-10,qproto_masked,5,0.7433850000000001,0.02728215070374036,0.7395562170819849,20524.0
MNIST-10,qproto_masked_hop,5,0.7443050000000001,0.026865988668991887,0.7404713182105506,24364.0


