prefix,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean,ref_minus_method_mean,ref_minus_method_ci95,paired_wins,paired_n
noise_,fedavg_forced,9,0.3436342592592593,0.05501495438037626,0.3470284935854419,1040.0,0.27885185185185185,0.07000991481090983,9,9
noise_,fedprox_forced,9,0.3425925925925926,0.054939304393284205,0.34603003730850784,1040.0,0.2798935185185185,0.06997287598886441,9,9
noise_,no_schema,9,0.41891666666666666,0.018655005250294177,0.4180861585178862,1044.0,0.20356944444444447,0.03315893698141226,9,9
noise_,qproto_full,9,0.6020092592592593,0.053568178847925085,0.6020048260007812,1432.0,,,0,0
noise_,qproto_hop,9,0.5907638888888889,0.05523070021402729,0.5911501347582682,1428.0,0.03172222222222229,0.05159379017865834,6,9
noise_,qproto_proto,9,0.5898148148148148,0.054895076481723225,0.5902001553431948,1044.0,0.032671296296296316,0.0512400415479283,6,9
noise_,wrong_schema,9,0.276662037037037,0.0066707880513599055,0.2781236191858156,1428.0,0.3458240740740741,0.0200454283715686,9,9


