family,setting,comparison,method_a,method_b,n,seeds,deltas,delta_acc_mean,delta_acc_ci95,wins,cohen_dz,p_one_sided,p_holm,p_two_sided,p_two_sided_holm,significant_005
Real missing-view,MFeat,Group-CProto all - mask-aware MLP,group_cproto_all,mask_aware_mlp_pooled,10,"0,1,2,3,4,5,6,7,8,9",0.01741667;0.01691667;0.00700000;0.00733333;0.00141667;0.00450000;0.00908333;0.01066667;0.00366667;0.00591667,0.008391666666666664,0.003808140637320456,10,1.576259969055915,0.0003773534289638949,0.00830177543720569,0.0007547068579277899,0.01660355087441138,True
Real high-order,MHEALTH,CHOP eq. - CProto eq.,chop_equal_bytes,cproto_equal_bytes,10,"0,1,2,3,4,5,6,7,8,9",-0.01753494;0.03098318;0.02658028;0.02894065;0.04369085;-0.00788130;-0.15015664;0.05718850;-0.00069532;0.04062500,0.00517402529458103,0.042641496445221805,6,0.08679380156772833,0.3949612368055522,1.0,0.7899224736111043,1.0,False
Real high-order,MHEALTH,CHOP eq. - zero-fill RFF eq.,chop_equal_bytes,zero_fill_rff_equal_bytes,10,"0,1,2,3,4,5,6,7,8,9",0.06804320;0.17270375;0.11469659;0.10105297;0.10214511;0.06541161;-0.12427945;0.16383387;0.07221871;0.17151693,0.0907343287432801,0.061776995002086214,9,1.05060013433307,0.004453888583143169,0.057900551580861194,0.008907777166286338,0.11580110316172239,False
Real high-order,MHEALTH,CHOP eq. - shared-view RFF eq.,chop_equal_bytes,shared_view_rff_equal_bytes,10,"0,1,2,3,4,5,6,7,8,9",0.06918679;0.14628072;0.17721239;0.21285897;0.35088328;0.14112955;-0.09924812;0.19773163;0.14001264;0.10953776,0.14455856046645468,0.08173614968395541,9,1.2650923795163798,0.001553869475270614,0.025535367775287834,0.003107738950541228,0.05107073555057567,True
Real high-order,MHEALTH,CHOP eq. - mask-aware MLP,chop_equal_bytes,mask_aware_mlp_pooled,10,"0,1,2,3,4,5,6,7,8,9",-0.01134053;0.03428202;0.02168142;0.01442246;0.04968454;-0.00619017;-0.17553258;0.07335463;0.01425411;0.03251953,0.004713542506431157,0.04870159583723712,7,0.06923039925317734,0.415795997977813,1.0,0.831591995955626,1.0,False
Real high-order,MHEALTH,Adaptive CHOP - CProto eq.,adaptive_chop_equal_bytes,cproto_equal_bytes,10,"0,1,2,3,4,5,6,7,8,9",0.01645489;0.00000000;0.02629583;0.02641991;0.00000000;0.00000000;0.01400376;0.05715655;0.03764223;0.00000000,0.017797316466883227,0.013847173613518188,6,0.9193608085327634,0.008694114596393396,0.08694114596393396,0.01738822919278679,0.17388229192786792,False
Real high-order,MHEALTH,Random HOP - random CProto eq.,random_key_hop_equal_bytes,random_key_cproto_equal_bytes,10,"0,1,2,3,4,5,6,7,8,9",-0.00034943;0.00038810;0.00003161;-0.00019145;0.00041009;-0.00031908;-0.00003133;0.00031949;0.00000000;0.00000000,2.5800113220963983e-05,0.0001961502128033066,6,0.0940860917643452,0.386409001477631,1.0,0.772818002955262,1.0,False
Adaptive gate,UCI HAR,Adaptive CHOP - CHOP eq.,adaptive_chop_equal_bytes,chop_equal_bytes,5,"0,1,2,3,4",0.10536667;0.12430000;0.15860000;0.09306667;0.11636667,0.11954000000000001,0.030788155332231264,5,4.820188720584879,0.00021008959559327273,0.005672419081018364,0.00042017919118654545,0.011344838162036727,True
Adaptive gate,MFeat,Adaptive CHOP - CHOP eq.,adaptive_chop_equal_bytes,chop_equal_bytes,10,"0,1,2,3,4,5,6,7,8,9",0.06783333;0.19833333;0.05391667;0.23966667;0.06308333;0.23975000;0.18000000;0.00341667;0.23166667;0.16091667,0.14385833333333328,0.06342894788328339,10,1.622333430011573,0.0003096764344959153,0.007122557993406053,0.0006193528689918306,0.014245115986812105,True
Adaptive gate,PAMAP2,Adaptive CHOP - CHOP eq.,adaptive_chop_equal_bytes,chop_equal_bytes,5,"0,1,2,3,4",0.13097222;0.29638889;0.23734722;0.32500000;0.16040278,0.23002222222222227,0.10412172064796608,5,2.7426028189651683,0.0017914980942343444,0.026872471413515165,0.0035829961884686888,0.05374494282703033,True
Adaptive gate,PAMAP2,Adaptive CHOP - zero-fill RFF eq.,adaptive_chop_equal_bytes,zero_fill_rff_equal_bytes,5,"0,1,2,3,4",0.08222222;0.15822222;0.07027778;0.11862500;0.15238889,0.11634722222222224,0.04944326021026278,5,2.921348567427108,0.0014186315430715463,0.025535367775287834,0.0028372630861430927,0.05107073555057567,True
Adaptive gate,PAMAP2,Adaptive CHOP - shared-view RFF eq.,adaptive_chop_equal_bytes,shared_view_rff_equal_bytes,5,"0,1,2,3,4",0.46072222;0.46781944;0.44933333;0.40418056;0.47031944,0.45047500000000007,0.03368076470688042,5,16.60440088616303,1.5710537467041444e-06,6.441320361486993e-05,3.142107493408289e-06,0.00012882640722973985,True


